,h3,icao_address_x,icao_address_y,percent,fill_color,line_fill_color
317,8406543ffffffff,9,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
318,8406545ffffffff,80,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
319,8406547ffffffff,162,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
320,8406549ffffffff,71,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
321,840654bffffffff,10,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
322,840654dffffffff,147,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
323,8406551ffffffff,13,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
324,8406559ffffffff,203,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
325,840655dffffffff,5,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
326,8406561ffffffff,16,0,0,"[0, 255, 0, 100]","[97, 255, 97]"
